id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
19709,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,United Colors of Benetton Men Check Maroon Shirt
41620,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Basics Men Navy Shirt
51423,Men,Apparel,Topwear,Shirts,Orange,Summer,2012.0,Casual,Myntra Men Orange Check Shirt
17546,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Formal,Mark Taylor Men Pink & White Striped Shirt
11145,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Bling Purple Shirts
13736,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Belmonte Men Check Red Shirts
11111,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Check White Shirts
37727,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Casual,John Players Men Check Yellow Shirt
31049,Men,Apparel,Topwear,Shirts,Beige,Summer,2012.0,Casual,Arrow Sport Men Beige Striped Shirt
59295,Men,Apparel,Topwear,Shirts,Black,Fall,2012.0,Casual,U.S. Polo Assn. Men Black Shirt
33059,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,U.S. Polo Assn. Denim Co. Men Blue & Red Check Shirt
13943,Men,Apparel,Topwear,Shirts,Brown,Summer,2011.0,Casual,United Colors of Benetton Men Solid Brown Shirts
31029,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Arrow New York Men Green Slim Fit Shirt
59440,Men,Apparel,Topwear,Shirts,Grey,Fall,2012.0,Formal,Arrow Men Grey Check Slim Fit Shirt
17157,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Maroon Shirt
10799,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Wander Wheels Navy Blue Shirts
38814,Women,Apparel,Topwear,Shirts,Orange,Fall,2012.0,Casual,Latin Quarters Women Orange & Grey Check Shirt
39733,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Arrow Woman Pink & Green Check Shirt
13873,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Solid Purple Shirts
16048,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Highlander Men Check Red Shirt
12354,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Reid & Taylor Men Solid White Shirts
19826,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Yellow Shirt
20319,Men,Apparel,Topwear,Shirts,Beige,Summer,2011.0,Casual,Mother Earth Men Solid Beige Shirt
12360,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Reid & Taylor Men Solid Black Shirts
37784,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Gingham Blue Shirt
41601,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,Basics Men Brown Shirt
12372,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Reid & Taylor Men Check Green Shirts
20168,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Wrangler Men Calgary Grey Shirt
17183,Men,Apparel,Topwear,Shirts,Maroon,Winter,2016.0,Casual,U.S. Polo Assn. Men Stripes Maroon Shirt
11953,Men,Footwear,Shoes,Casual Shoes,Beige,Summer,2012.0,Casual,Ganuchi Men Casual Beige Casual Shoes
57510,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Provogue Men Black Casual Shoes
6356,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2011.0,Casual,Numero Uno Men's Dark Blue Canvas Shoe
28318,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Brown Shoes
6372,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2011.0,Casual,Numero Uno Men's Green Shoe
18659,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Fila Men Craze Grey Shoes
36131,Men,Footwear,Shoes,Casual Shoes,Maroon,Summer,2012.0,Casual,Nike Men Dunk High Maroon Shoes
38546,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Puma Men Navy Blue Madison Classic Shoes
47248,Men,Footwear,Shoes,Casual Shoes,Orange,Summer,2013.0,Casual,Playboy Men Orange Casual Shoes
15270,Women,Footwear,Shoes,Casual Shoes,Pink,Fall,2011.0,Casual,ADIDAS Originals Women Top Ten low Sleek Pink Casual Shoes
24192,Unisex,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Converse Unisex Chuck Taylor All Star Print Purple Casual Shoes
35464,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2013.0,Casual,Franco Leone Men Red Shoes
13356,Women,Footwear,Shoes,Casual Shoes,Silver,Fall,2011.0,Casual,Timberland Women Femmes Silver Casual Shoes
31942,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Women Sweet Classic Leather White Shoes
39616,Women,Footwear,Shoes,Casual Shoes,Yellow,Winter,2015.0,Casual,Catwalk Women Yellow Shoes
20890,Men,Footwear,Shoes,Casual Shoes,Beige,Fall,2011.0,Casual,Basics Men Beige Casual  Shoes
2505,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Numero Uno Men's Casual Black Shoe
35465,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,Franco Leone Men Blue Shoes
36948,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Force 10 Men Brown Shoes
4440,Unisex,Footwear,Shoes,Casual Shoes,Green,Summer,2011.0,Casual,Converse Unisex Check Ox Green Canvas Shoe
34757,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Puma Women Aurora Grey Shoes
15494,Women,Footwear,Shoes,Casual Shoes,Maroon,Spring,2013.0,Casual,Carlton London Women Casual Maroon Casual Shoes
19351,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Numero Uno Men Navy Blue Shoes
10742,Women,Footwear,Shoes,Casual Shoes,Orange,Winter,2012.0,Casual,Disney Kids Girl Pooh Face Orange Casual Shoes
12422,Women,Footwear,Shoes,Casual Shoes,Pink,Fall,2011.0,Casual,Timberland Women Casual Pink Casual Shoes
9816,Unisex,Footwear,Shoes,Casual Shoes,Purple,Summer,2014.0,Casual,Converse Unisex Purple Casual Shoes
22911,Unisex,Footwear,Shoes,Casual Shoes,Red,Fall,2011.0,Casual,Converse Unisex Plaid Check Ox Red Shoes
5917,Women,Footwear,Shoes,Casual Shoes,Silver,Summer,2011.0,Casual,ADIDAS Women's Agashae Silver Shoe
6648,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Nike Men's Air 180 White Shoe
23855,Men,Footwear,Shoes,Casual Shoes,Yellow,Summer,2011.0,Casual,ADIDAS Men Yellow Color Blast Casual Shoes
33530,Women,Footwear,Shoes,Casual Shoes,Beige,Summer,2016.0,Casual,Cobblerz Women Beige Loafers
22095,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Numero Uno Men Casual Black Shoes
15870,Unisex,Footwear,Shoes,Casual Shoes,Blue,Spring,2013.0,Casual,Warner Bros Kids Unisex TJ Notebook Canvas Blue Casual Shoes
12508,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Casual Brown Casual Shoes
13191,Men,Footwear,Shoes,Casual Shoes,Green,Fall,2011.0,Casual,Puma Men Eco ortholite Green Casual Shoes
44503,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Gliders Women Grey & Orange Shoes
9086,Unisex,Footwear,Shoes,Casual Shoes,Maroon,Fall,2011.0,Casual,Converse Unisex Ct As Star Chevron Hi Maroon Casual Shoes
40692,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Numero Uno Men Navy Blue Shoes
9211,Men,Footwear,Shoes,Casual Shoes,Orange,Fall,2011.0,Casual,Puma Men Silly Point Orange Casual Shoes
46842,Girls,Footwear,Shoes,Casual Shoes,Pink,Fall,2012.0,Casual,Barbie Girls Pink Casual Shoes
38659,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Nike Men Purple Braata Shoes
10770,Girls,Footwear,Shoes,Casual Shoes,Red,Winter,2012.0,Casual,Disney Kids Red Casual Shoes
5910,Women,Footwear,Shoes,Casual Shoes,Silver,Summer,2011.0,Casual,ADIDAS Women Daily Vulc Silver Shoe
28430,Women,Accessories,Watches,Watches,Beige,Winter,2016.0,Formal,DKNY Women Beige Chronograph Watch NY8330
43204,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Dial Watch
49891,Unisex,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Q&Q Kids Unisex Blue Analog Watch
51544,Women,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Fastrack Women Brown Watch
28576,Men,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,ADIDAS Originals Men Green Dial Chronograph Watch ADH2619
34625,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Kenneth Cole Men Grey Dial Watch
45163,Men,Accessories,Watches,Watches,Maroon,Winter,2016.0,Casual,CASIO ENTICER Men Maroon Dial Analogue Watch A518
38041,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016.0,Casual,Q&Q Men Navy Dial Watch DD02J004Y
45268,Men,Accessories,Watches,Watches,Orange,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G335
25664,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Fastrack Women Pink Dial Watch
25657,Women,Accessories,Watches,Watches,Purple,Winter,2016.0,Casual,Fastrack Women Purple Watch
10395,Men,Accessories,Watches,Watches,Red,Winter,2016.0,Sports,Puma Men Cardiac II Red Watches
29905,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Police Women Silver-Toned Dial Watch PL10813BS-04M
46513,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Timex Women White Dial Watch
21480,Unisex,Accessories,Watches,Watches,Yellow,Winter,2016.0,Casual,Ice Unisex Neon Yellow Watch
41044,Men,Accessories,Watches,Watches,Beige,Winter,2016.0,Casual,Nautica Men Beige Dial Chronograph Watch
25682,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Black Casual Watch
30074,Women,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Ed Hardy Women White Dial Watch
46419,Men,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Timex Men Brown Dial Empera Watch
46502,Men,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,Timex Men Green Dial Watch
22929,Unisex,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Unisex Grey Dial Watch 9912PP10
59222,Women,Accessories,Watches,Watches,Maroon,Winter,2016.0,Casual,Titan Women Maroon Watch
53611,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016.0,Casual,Q&Q Men Navy Digital Watch M051-002
54620,Men,Accessories,Watches,Watches,Orange,Winter,2016.0,Casual,Fastrack Men Black Dial Watch
32312,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Q&Q Women Pink Dial Watch
45204,Women,Accessories,Watches,Watches,Purple,Winter,2016.0,Casual,CASIO ENTICER Women Purple Dial Watch A659 LTP-1294D-6ADF
54661,Women,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Fastrack Women White Dial Watch
45032,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Maxima Attivo Men Silver Dial Watch
56316,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch
38031,Women,Accessories,Watches,Watches,Yellow,Winter,2016.0,Casual,Q&Q Attractive Women Yellow Dial Watch
26347,Women,Accessories,Watches,Watches,Beige,Winter,2016.0,Formal,DKNY Women Beige Dial Chronograph Watch NY8322
33870,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Citizen Men Black Dial Chronograph Watch AN3420-51L
45883,Men,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Maxima Men Blue Dial Watch
21667,Men,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Fossil Men Black Dial Chronograph Watch CH2586
18528,Boys,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,Chhota Bheem Kids-Boys Green Digital Pop Watch
45872,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Maxima Men Dark Grey Dial Watch
23858,Men,Footwear,Shoes,Sports Shoes,Beige,Fall,2011.0,Sports,ADIDAS Men Beige Pural Desman Sports Shoes
2967,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Puma Men's Mid Pixel Black & Silver Canvas Shoe
3375,Women,Footwear,Shoes,Sports Shoes,Blue,Spring,2012.0,Sports,Asics Women Gel Cushioning Active Running Blue Silver Shoe
32182,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2012.0,Casual,ADIDAS Men Agora Brown Sport Shoes
6856,Men,Footwear,Shoes,Sports Shoes,Green,Summer,2011.0,Sports,Spalding Men's Running White Green Shoe
34649,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2012.0,Sports,Fila Women Artifice Grey Sports Shoes
5348,Men,Footwear,Shoes,Sports Shoes,Maroon,Fall,2011.0,Sports,Quechua Forclaz  800 Trek Man
15299,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Ranger Navy Blue Sports Shoes
54078,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,ADIDAS Men Orange F50 Adizero HG Football Shoes
36418,Women,Footwear,Shoes,Sports Shoes,Pink,Spring,2013.0,Sports,Spinn Women Alliance Pink Sports Shoes
42029,Women,Footwear,Shoes,Sports Shoes,Purple,Summer,2012.0,Sports,ADIDAS Women Purple Chill Sports Shoes
46325,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2012.0,Sports,Reebok Men Red Premier Road Supreme Sports Shoes
9118,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,Puma Women Axis Silver Sports Shoes
18421,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Skechers Women Shape-Ups White Shoe
7604,Men,Footwear,Shoes,Sports Shoes,Yellow,Summer,2011.0,Sports,Nike Men's 360 Enganche Yellow Shoe
35725,Men,Footwear,Shoes,Sports Shoes,Beige,Summer,2012.0,Sports,Force 10 Men Beige Sports Shoes
31973,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Men Dual Fusion ST 2 Black Sports Shoes
5588,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,ADIDAS Men's Kestrel Navy Blue Shoe
6634,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2011.0,Sports,Nike Men's Air Endurance Brown Shoe
23862,Men,Footwear,Shoes,Sports Shoes,Green,Fall,2011.0,Sports,ADIDAS Men Green Spider 2 M Sports Shoes
31947,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Nike Men Air Pegasus Grey Sports Shoes
14342,Men,Footwear,Shoes,Sports Shoes,Maroon,Fall,2011.0,Sports,Nike Men Feild Trainer textile Maroon Sports Shoes
35641,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Fall,2012.0,Sports,Fila Men Smash Lite Navy Blue Shoes
38671,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,Nike Men Mercurial Victory III HG-V Orange Sports Shoes
40483,Women,Footwear,Shoes,Sports Shoes,Pink,Fall,2012.0,Sports,Fila Women Pink Speed Lite Sports Shoes
9056,Women,Footwear,Shoes,Sports Shoes,Purple,Fall,2011.0,Sports,ADIDAS Women Adi Light Purple Sports Shoes
4166,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011.0,Sports,Reebok Men's Zigfuel White Red Shoe
10111,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,Reebok Men Premier road supreme 2 Silver Sports Shoes
54070,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Sports Shoes
11966,Unisex,Footwear,Shoes,Sports Shoes,Yellow,Spring,2012.0,Sports,Newfeel Unisex Sports Yellow Sports Shoes
5351,Women,Footwear,Shoes,Sports Shoes,Beige,Fall,2011.0,Sports,Quechua Arpenaz Sandal 50 L Beige
24699,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Puma Men Cell Tolero Black Sports Shoes
3389,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Murcia Women Beige with Stitch Bag
10735,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Murcia Women Mcc Black Black Handbags
52661,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Mod-acc Women Blue Handbag
47375,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Baggit Women Brown Handbag
58176,Women,Accessories,Bags,Handbags,Green,Fall,2012.0,Casual,Rocky S Women Green Handbag
42834,Women,Accessories,Bags,Handbags,Grey,Summer,2012.0,Casual,French Connection Women Grey & Brown Handbag
22015,Women,Accessories,Bags,Handbags,Maroon,Winter,2015.0,Casual,Murcia Women Casual Maroon Handbag
20830,Unisex,Accessories,Bags,Handbags,Navy Blue,Summer,2011.0,Sports,Nike Unisex Solid Navy Blue Bag
34776,Women,Accessories,Bags,Handbags,Orange,Summer,2015.0,Casual,Be For Bag Women Pack of 3 Bag
21989,Women,Accessories,Bags,Handbags,Pink,Winter,2015.0,Casual,Murcia Women Leatherette Pink Handbag
20601,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Baggit Women Purple Groovy Camlin Crush Handbag
50243,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Stoln Women Red Handbag
20044,Women,Accessories,Bags,Handbags,Silver,Fall,2011.0,Casual,United Colors of Benetton Women Solid Silver Handbags
53914,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Kiara Women White Handbag
